image_name,query,ground_truth
pdf11_8.png,extract the is signed in the Covering Schedule document for the document name pdf11_8.png?,True
pdf14_9.png,extract the is signed in the Covering Schedule document for the document name pdf14_9.png?,True
pdf11_8.png,extract the document page no in the Covering Schedule document for the document name pdf11_8.png?,1
pdf16_7.png,extract the document page no in the Covering Schedule document for the document name pdf16_7.png?,1
pdf12_9.png,extract the document page no in the Covering Schedule document for the document name pdf12_9.png?,1
pdf10_7.png,extract the document page no in the Covering Schedule document for the document name pdf10_7.png?,1
11133_test_jun13_1.png,extract the document page no in the Covering Schedule document for the document name 11133_test_jun13_1.png?,1
45A_46A_47A_testing_pdf1_4.png,extract the document page no in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,1
pdf14_9.png,extract the document page no in the Covering Schedule document for the document name pdf14_9.png?,1
pdf15_13.png,extract the document page no in the Covering Schedule document for the document name pdf15_13.png?,1
pdf13_19.png,extract the document page no in the Covering Schedule document for the document name pdf13_19.png?,1
pdf11_8.png,extract the tenor type in the Covering Schedule document for the document name pdf11_8.png?,AT SIGHT
pdf16_7.png,extract the tenor type in the Covering Schedule document for the document name pdf16_7.png?, AT SIGHT D/P
pdf12_9.png,extract the tenor type in the Covering Schedule document for the document name pdf12_9.png?,SIGHT
pdf10_7.png,extract the tenor type in the Covering Schedule document for the document name pdf10_7.png?,AT SIGHT
45A_46A_47A_testing_pdf1_4.png,extract the tenor type in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,SIGHT N/A
pdf14_9.png,extract the tenor type in the Covering Schedule document for the document name pdf14_9.png?,AT SIGHT
pdf15_13.png,extract the tenor type in the Covering Schedule document for the document name pdf15_13.png?,AT SIGHT D/P 
pdf13_19.png,extract the tenor type in the Covering Schedule document for the document name pdf13_19.png?,AT SIGHT
pdf11_8.png,extract the drawer bank name in the Covering Schedule document for the document name pdf11_8.png?,HSBC BANK PLC
pdf16_7.png,extract the drawer bank name in the Covering Schedule document for the document name pdf16_7.png?,"DBS. LIVING, BREATHING ASIA"
pdf12_9.png,extract the drawer bank name in the Covering Schedule document for the document name pdf12_9.png?,CHINA CONSTRUCTION BANK
pdf10_7.png,extract the drawer bank name in the Covering Schedule document for the document name pdf10_7.png?,HSBC
11133_test_jun13_1.png,extract the drawer bank name in the Covering Schedule document for the document name 11133_test_jun13_1.png?,ICICI BANK ICICI BANK LIMITED~ICICI BANK LTD
45A_46A_47A_testing_pdf1_4.png,extract the drawer bank name in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,CHINA CONSTRUCTION BANK
pdf14_9.png,extract the drawer bank name in the Covering Schedule document for the document name pdf14_9.png?,HSBC BANK PLC
pdf15_13.png,extract the drawer bank name in the Covering Schedule document for the document name pdf15_13.png?,"DBS. LIVING, BREATHING DBS ASIA"
pdf13_19.png,extract the drawer bank name in the Covering Schedule document for the document name pdf13_19.png?,HSBC
pdf11_8.png,extract the drawer bank address in the Covering Schedule document for the document name pdf11_8.png?,TRADE  SUPPLY CHAIN LONDON TRADE SERVICES CENTRE LEVEL 2 6276 PARK STREET LONDON SE1 9RN
pdf12_9.png,extract the drawer bank address in the Covering Schedule document for the document name pdf12_9.png?,NINGBO BR INTL DEPT RM 1413 14 FL 36 LIU TING STREET NINGBO 315007 
11133_test_jun13_1.png,extract the drawer bank address in the Covering Schedule document for the document name 11133_test_jun13_1.png?,BACKBAY RECLAMATION 163 HT PAREKH MARG MUMBAI 400 020
45A_46A_47A_testing_pdf1_4.png,extract the drawer bank address in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,NINGBO BR INTL DEPT RM 1413 14 FL 36 LIU TING STREET NINGBO 315007 
pdf14_9.png,extract the drawer bank address in the Covering Schedule document for the document name pdf14_9.png?,TRADE  SUPPLY CHAIN LONDON TRADE SERVICES CENTRE LEVEL 2 6276 PARK STREET LONDON SE1 9RN
pdf11_8.png,extract the csh presentation date in the Covering Schedule document for the document name pdf11_8.png?,07/12/2012
pdf16_7.png,extract the csh presentation date in the Covering Schedule document for the document name pdf16_7.png?,08/17/2012
pdf12_9.png,extract the csh presentation date in the Covering Schedule document for the document name pdf12_9.png?,08/23/2012
pdf10_7.png,extract the csh presentation date in the Covering Schedule document for the document name pdf10_7.png?,"08/09/2012,07/16/2012,"
11133_test_jun13_1.png,extract the csh presentation date in the Covering Schedule document for the document name 11133_test_jun13_1.png?,18.01.2024
45A_46A_47A_testing_pdf1_4.png,extract the csh presentation date in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,08/23/2018
pdf14_9.png,extract the csh presentation date in the Covering Schedule document for the document name pdf14_9.png?,07/12/2012
pdf15_13.png,extract the csh presentation date in the Covering Schedule document for the document name pdf15_13.png?,01/01/2012
pdf13_19.png,extract the csh presentation date in the Covering Schedule document for the document name pdf13_19.png?,"08/09/2012,07/16/2012,"
pdf11_8.png,extract the drawee bank name in the Covering Schedule document for the document name pdf11_8.png?,ICICI BANK LTD
pdf16_7.png,extract the drawee bank name in the Covering Schedule document for the document name pdf16_7.png?,ICICI BANK LIMITED
pdf12_9.png,extract the drawee bank name in the Covering Schedule document for the document name pdf12_9.png?,ICICI BANK LTD
pdf10_7.png,extract the drawee bank name in the Covering Schedule document for the document name pdf10_7.png?,ICICI BANK LTD
11133_test_jun13_1.png,extract the drawee bank name in the Covering Schedule document for the document name 11133_test_jun13_1.png?,INDUSIND BANK LTD
45A_46A_47A_testing_pdf1_4.png,extract the drawee bank name in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,ICICI BANK LTD
pdf14_9.png,extract the drawee bank name in the Covering Schedule document for the document name pdf14_9.png?,ICICI BANK LTD
pdf15_13.png,extract the drawee bank name in the Covering Schedule document for the document name pdf15_13.png?,ICICI BANK LIMITED
pdf13_19.png,extract the drawee bank name in the Covering Schedule document for the document name pdf13_19.png?,ICICI BANK LTD
pdf11_8.png,extract the drawee bank address in the Covering Schedule document for the document name pdf11_8.png?,OPERA HOUSE BRANCH 396410 SHAMITHA TERRACE LAMNGTON ROAD OPERA HOUSE MUMBAI 400004 MAHARASHTRA 
pdf16_7.png,extract the drawee bank address in the Covering Schedule document for the document name pdf16_7.png?,TRADE FOREX MALLESHWARAM BR NO47 5TH MAIN 5TH CROSS MALLESHWARAM BANGALORE 560003 
pdf12_9.png,extract the drawee bank address in the Covering Schedule document for the document name pdf12_9.png?,58 DHARMAPALA MAWATHA COLOMBO 07 SRILANKA
pdf10_7.png,extract the drawee bank address in the Covering Schedule document for the document name pdf10_7.png?,SCF 62 AND 63 SECTOR 15 FARIDABAD HARYANA 121007 INDIA
11133_test_jun13_1.png,extract the drawee bank address in the Covering Schedule document for the document name 11133_test_jun13_1.png?,CHENNAI BRANCH NO3 VILLAGE ROAD NUNGAMBAKKAM CHENNAI 600034
45A_46A_47A_testing_pdf1_4.png,extract the drawee bank address in the Covering Schedule document for the document name 45A_46A_47A_testing_pdf1_4.png?,58 DHARMAPALA MAWATHA COLOMBO 07 SRILANKA
