user_query,selected_tables_embedding,rel_tables_gpt
Determine the CSH bill amount in the Covering Schedule document named pdf11_8.png.,"[('CS: contains the covering schedule document information', 0.70634127), ('BOE: contains the bill of exchange document information', 0.40999323)]",['CS']
Identify the tenor type in the Covering Schedule document named pdf16_7.png.,"[('CS: contains the covering schedule document information', 0.49019814), ('classification_table: contains the document class information', 0.31381315)]",['CS']
Find the other charges in the Covering Schedule document named pdf12_9.png.,"[('CS: contains the covering schedule document information', 0.5927816), ('PL: contains the packing list document information', 0.38556)]",['CS: Covering Schedule']
Locate the freight charges in the Covering Schedule document named pdf10_7.png.,"[('CS: contains the covering schedule document information', 0.49317858), ('PL: contains the packing list document information', 0.36588562)]","['CS', 'AWB']"
Retrieve the payment at sight in the Covering Schedule document named 11133_test_jun13_1.png.,"[('CS: contains the covering schedule document information', 0.54766047), ('BOE: contains the bill of exchange document information', 0.40909407)]",['CS']
Extract the drawer bank BIC from the Covering Schedule document named 45A_46A_47A_testing_pdf1_4.png.,"[('CS: contains the covering schedule document information', 0.49917442), ('PL: contains the packing list document information', 0.45078617)]",['CS']
Determine the commissioned charges in the Covering Schedule document named pdf14_9.png.,"[('CS: contains the covering schedule document information', 0.58364844), ('PL: contains the packing list document information', 0.3939277)]",['CS']
Find the document charge instructions in the Covering Schedule document named pdf15_13.png.,"[('CS: contains the covering schedule document information', 0.6245742), ('PL: contains the packing list document information', 0.43722776)]",['CS']
Identify the insurance charges in the Covering Schedule document named pdf13_19.png.,"[('CS: contains the covering schedule document information', 0.52286255), ('IC: contains the insurance certificate document information', 0.463278)]","['CS', 'AWB', 'BOE', 'COO']"
Find the consignee name in the AirWay Bill document named 45A_46A_47A_testing_pdf1_1.png.,"[('AWB: contains the airway bill document information', 0.5643008), ('BOE: contains the bill of exchange document information', 0.3342591)]",['AWB']
Determine the final destination in the AirWay Bill document named 45A_46A_47A_testing_pdf1_2.png.,"[('AWB: contains the airway bill document information', 0.66355455), ('IC: contains the insurance certificate document information', 0.30052376)]",['AWB']
Locate the place of receipt in the AirWay Bill document named 45A_46A_47A_testing_pdf1_13.png.,"[('AWB: contains the airway bill document information', 0.6926622), ('BOE: contains the bill of exchange document information', 0.4063138)]",['AWB']
Retrieve the LC reference number from the Bill of Exchange document named pdf11_9.png.,"[('BOE: contains the bill of exchange document information', 0.5490235), ('classification_table: contains the document class information', 0.40537375)]",['BOE']
Identify the total original number in the Bill of Exchange document named pdf16_6.png.,"[('BOE: contains the bill of exchange document information', 0.5297334), ('COO: contains the certificate of origin document information', 0.3497034)]",['BOE']
Find the drawee bank address in the Bill of Exchange document named pdf12_8.png.,"[('BOE: contains the bill of exchange document information', 0.59567684), ('AWB: contains the airway bill document information', 0.34378326)]",['BOE']
Determine the document page number in the Bill of Exchange document named pdf10_8.png.,"[('BOE: contains the bill of exchange document information', 0.5434448), ('classification_table: contains the document class information', 0.40667123)]",['BOE']
Locate the tenor indicator in the Bill of Exchange document named 11133_test_jun13_2.png.,"[('BOE: contains the bill of exchange document information', 0.5451225), ('CI: contains the commercial invoice document information', 0.36615267)]",['BOE']
Extract the LC date from the Bill of Exchange document named 45A_46A_47A_testing_pdf1_5.png.,"[('BOE: contains the bill of exchange document information', 0.5186141), ('COO: contains the certificate of origin document information', 0.3856463)]",['BOE']
Find the issuing bank in the Bill of Exchange document named 45A_46A_47A_testing_pdf1_6.png.,"[('BOE: contains the bill of exchange document information', 0.6503006), ('CI: contains the commercial invoice document information', 0.4521929)]",['BOE']
Identify the IS sign in the Bill of Exchange document named 45A_46A_47A_testing_pdf1_7.png.,"[('BOE: contains the bill of exchange document information', 0.58349514), ('COO: contains the certificate of origin document information', 0.43901604)]",['BOE']
Determine the signature in the Bill of Exchange document named pdf14_8.png.,"[('BOE: contains the bill of exchange document information', 0.5630196), ('COO: contains the certificate of origin document information', 0.46544653)]",['BOE']
Find the bill exchange date in the Bill of Exchange document named pdf15_12.png.,"[('BOE: contains the bill of exchange document information', 0.5706697), ('CI: contains the commercial invoice document information', 0.32942885)]",['BOE']
Retrieve the original from the Bill of Exchange document named pdf13_18.png.,"[('BOE: contains the bill of exchange document information', 0.5521118), ('AWB: contains the airway bill document information', 0.39416122)]",['BOE']
Find the AWB date in the Commercial Invoice document named pdf11_4.png.,"[('CI: contains the commercial invoice document information', 0.42566162), ('AWB: contains the airway bill document information', 0.39375445)]",['AWB']
Determine the transaction amount value in the Commercial Invoice document named pdf11_5.png.,"[('CI: contains the commercial invoice document information', 0.6032406), ('BOE: contains the bill of exchange document information', 0.40703118)]",['CI']
Locate the usance tenor in the Commercial Invoice document named pdf11_6.png.,"[('CI: contains the commercial invoice document information', 0.48418325), ('BOE: contains the bill of exchange document information', 0.3136315)]",['CI']
Identify the beneficiary address in the Commercial Invoice document named pdf16_4.png.,"[('CI: contains the commercial invoice document information', 0.6059193), ('IC: contains the insurance certificate document information', 0.42799518)]",['CI']
Retrieve the declaration by issuer from the Commercial Invoice document named pdf12_4.png.,"[('CI: contains the commercial invoice document information', 0.5288488), ('COO: contains the certificate of origin document information', 0.39240983)]",['CI']
Find the net weight in the Commercial Invoice document named pdf12_5.png.,"[('CI: contains the commercial invoice document information', 0.44752884), ('IC: contains the insurance certificate document information', 0.2829406)]",['CI']
Determine the beneficiary bank country in the Commercial Invoice document named pdf10_4.png.,"[('CI: contains the commercial invoice document information', 0.57975054), ('BOE: contains the bill of exchange document information', 0.46886104)]",['CI']
Locate the beneficiary IBAN number in the Commercial Invoice document named pdf10_5.png.,"[('CI: contains the commercial invoice document information', 0.57976866), ('IC: contains the insurance certificate document information', 0.42084128)]",['CI']
Identify the notify party address in the Commercial Invoice document named 11133_test_jun13_8.png.,"[('CI: contains the commercial invoice document information', 0.46618387), ('COO: contains the certificate of origin document information', 0.3662878)]",['CI']
Retrieve the port of loading in the Commercial Invoice document named 11133_test_jun13_13.png.,"[('CI: contains the commercial invoice document information', 0.5085127), ('COO: contains the certificate of origin document information', 0.35822082)]",['CI']
Find the remitter country in the Commercial Invoice document named 11133_test_jun13_18.png.,"[('CI: contains the commercial invoice document information', 0.48070973), ('COO: contains the certificate of origin document information', 0.4461884)]",['CI']
Determine the AWB date in the Commercial Invoice document named 45A_46A_47A_testing_pdf1_9.png.,"[('CI: contains the commercial invoice document information', 0.44682145), ('AWB: contains the airway bill document information', 0.41975302)]","['CI', 'AWB']"
Locate the tenor type in the Commercial Invoice document named pdf14_4.png.,"[('CI: contains the commercial invoice document information', 0.45156687), ('BOE: contains the bill of exchange document information', 0.2857191)]",['CI']
Find the beneficiary IBAN number in the Commercial Invoice document named pdf14_5.png.,"[('CI: contains the commercial invoice document information', 0.56813335), ('IC: contains the insurance certificate document information', 0.40152973)]",['CI']
Identify the notify party country in the Commercial Invoice document named pdf15_4.png.,"[('CI: contains the commercial invoice document information', 0.39907542), ('COO: contains the certificate of origin document information', 0.3525309)]",['CI']
Retrieve the invoice number from the Commercial Invoice document named pdf15_5.png.,"[('CI: contains the commercial invoice document information', 0.6028797), ('COO: contains the certificate of origin document information', 0.31575963)]",['CI']
Determine the goods description in the Commercial Invoice document named pdf15_6.png.,"[('CI: contains the commercial invoice document information', 0.62310827), ('BOE: contains the bill of exchange document information', 0.41850257)]",['CI']
Locate the date of invoice in the Commercial Invoice document named pdf15_7.png.,"[('CI: contains the commercial invoice document information', 0.5526253), ('BOE: contains the bill of exchange document information', 0.29500148)]",['CI']
Find the IS sign in the Commercial Invoice document named pdf15_8.png.,"[('CI: contains the commercial invoice document information', 0.5297936), ('BOE: contains the bill of exchange document information', 0.38168928)]",['CI']
Retrieve the indicator type from the Commercial Invoice document named pdf15_9.png.,"[('CI: contains the commercial invoice document information', 0.5282645), ('IC: contains the insurance certificate document information', 0.37472257)]",['CI']
Identify the transaction date in the Commercial Invoice document named pdf15_10.png.,"[('CI: contains the commercial invoice document information', 0.540914), ('BOE: contains the bill of exchange document information', 0.4123112)]",['CI']
Find the goods details in the Commercial Invoice document named pdf13_16.png.,"[('CI: contains the commercial invoice document information', 0.6268014), ('BOE: contains the bill of exchange document information', 0.41350955)]",['CI']
